release_year,movie_count
2024,1
2023,8
2022,208
2021,714
2020,453
2019,500
2018,530
2017,510
2016,470
2015,390
2014,371
2013,348
2012,285
2011,316
2010,279
2009,291
2008,250
2007,245
2006,237
2005,216
2004,205
2003,182
2002,165
2001,164
2000,138
1999,125
1998,130
1997,117
1996,96
1995,113
1994,103
1993,118
1992,89
1991,83
1990,76
1989,80
1988,82
1987,73
1986,68
1985,80
1984,57
1983,52
1982,46
1981,48
1980,45
1979,34
1978,34
1977,37
1976,22
1975,23
1974,21
1973,40
1972,20
1971,23
1970,15
1969,24
1968,25
1967,24
1966,19
1965,21
1964,20
1963,22
1962,17
1961,17
1960,16
1959,13
1958,11
1957,12
1956,12
1955,10
1954,12
1953,10
1952,7
1951,7
1950,7
1949,6
1948,6
1947,5
1946,8
1945,2
1944,3
1943,4
1942,4
1941,6
1940,6
1939,6
1938,5
1937,2
1936,2
1935,3
1933,4
1932,5
1931,5
1930,1
1929,1
1927,2
1926,2
1925,1
1922,2
1921,2
1920,1
1902,1
