title,release_year,original_language,genre,popularity,vote_average,vote_count
The Godfather,1972,en,"Drama, Crime",93.136,8.7,15614
The Shawshank Redemption,1994,en,"Drama, Crime",87.669,8.7,20911
Dilwale Dulhania Le Jayenge,1995,hi,"Comedy, Drama, Romance",29.087,8.7,3474
The Godfather: Part II,1974,en,"Drama, Crime",65.324,8.6,9393
Schindler's List,1993,en,"Drama, History, War",55.225,8.6,12474
The Dark Knight,2008,en,"Drama, Action, Crime, Thriller",173.923,8.5,26994
Your Name.,2016,ja,"Romance, Animation, Drama",155.483,8.5,8426
The Lord of the Rings: The Return of the King,2003,en,"Adventure, Fantasy, Action",118.609,8.5,19183
Parasite,2019,ko,"Comedy, Thriller, Drama",108.442,8.5,13240
Spirited Away,2001,ja,"Animation, Family, Fantasy",104.215,8.5,12531
The Green Mile,1999,en,"Fantasy, Drama, Crime",81.142,8.5,13604
Forrest Gump,1994,en,"Comedy, Drama, Romance",62.636,8.5,22308
Life Is Beautiful,1997,it,"Comedy, Drama",60.184,8.5,10903
Pulp Fiction,1994,en,"Thriller, Crime",55.352,8.5,22733
"The Good, the Bad and the Ugly",1966,it,Western,45.733,8.5,6479
GoodFellas,1990,en,"Drama, Crime",44.572,8.5,9860
12 Angry Men,1957,en,Drama,34.638,8.5,6227
Seven Samurai,1954,ja,"Action, Drama",26.328,8.5,2580
Cinema Paradiso,1988,it,"Drama, Romance",19.717,8.5,3259
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,ja,"Animation, Action, Adventure, Fantasy",845.992,8.4,2224
