title,release_year,genre,vote_average,popularity,vote_count,original_language,cluster
Spider-Man: No Way Home,2021,"Action, Adventure, Science Fiction",8.3,5083.954,8940,en,11
The Batman,2022,"Crime, Mystery, Thriller",8.1,3827.658,1151,en,8
No Exit,2022,Thriller,6.3,2618.087,122,en,4
Encanto,2021,"Animation, Comedy, Family, Fantasy",7.7,2402.201,5076,en,0
The King's Man,2021,"Action, Adventure, Thriller, War",7.0,1895.511,1793,en,10
The Commando,2022,"Action, Crime, Thriller",6.6,1750.484,33,en,8
Scream,2022,"Horror, Mystery, Thriller",6.8,1675.161,821,en,7
Kimi,2022,Thriller,6.3,1601.782,206,en,4
Fistful of Vengeance,2022,"Action, Crime, Fantasy",5.3,1594.013,114,en,10
Eternals,2021,Science Fiction,7.2,1537.406,4726,en,2
Pursuit,2022,"Action, Crime, Thriller",5.9,1500.523,16,en,8
My Hero Academia: World Heroes' Mission,2021,"Animation, Action, Fantasy, Adventure",7.3,1485.064,100,ja,10
Restless,2022,"Action, Thriller, Crime",5.9,1468.377,107,fr,8
Nightmare Alley,2021,"Crime, Drama, Thriller",7.1,1455.144,952,en,8
The Ice Age Adventures of Buck Wild,2022,"Animation, Comedy, Adventure, Family",7.1,1431.307,737,en,0
Hotel Transylvania: Transformania,2022,"Animation, Family, Fantasy, Comedy, Adventure",7.0,1373.778,288,en,0
Texas Chainsaw Massacre,2022,Horror,5.1,1312.79,521,en,5
The Requin,2022,Thriller,4.6,1252.317,65,en,4
Looop Lapeta,2022,"Action, Comedy, Crime",6.0,1240.946,31,hi,3
Red Notice,2021,"Action, Comedy, Crime, Thriller",6.8,1178.544,3193,en,8
Sing 2,2021,"Animation, Comedy, Family, Music",8.2,1112.9,2172,en,0
The Jack in the Box: Awakening,2022,Horror,5.4,1096.79,43,en,5
Venom: Let There Be Carnage,2021,"Science Fiction, Action, Adventure",7.1,1053.615,6539,en,11
The Matrix Resurrections,2021,"Science Fiction, Action, Adventure",6.8,941.024,3160,en,11
Resident Evil: Welcome to Raccoon City,2021,"Horror, Action, Science Fiction",6.1,881.086,1312,en,2
Last Man Down,2021,"Action, Thriller",6.3,869.605,318,en,8
American Siege,2022,"Action, Thriller, Crime, Drama",5.4,867.326,49,en,8
Uncharted,2022,"Action, Adventure",7.1,866.391,691,en,10
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,"Animation, Action, Adventure, Fantasy",8.4,845.992,2224,ja,10
Ghostbusters: Afterlife,2021,"Fantasy, Comedy, Adventure",7.7,839.904,2225,en,10
The 355,2022,"Action, Thriller",6.1,781.748,313,en,8
Shang-Chi and the Legend of the Ten Rings,2021,"Action, Adventure, Fantasy",7.7,769.185,5845,en,10
Marry Me,2022,"Romance, Comedy, Music",6.9,761.793,230,en,9
The Hunting,2022,Horror,5.8,761.127,10,en,5
West Side Story,2021,"Drama, Romance, Crime",7.4,678.186,562,en,6
Through My Window,2022,"Romance, Drama",7.8,659.105,1331,es,6
The Seven Deadly Sins: Cursed by Light,2021,"Animation, Fantasy",8.0,647.54,312,ja,0
One Shot,2021,Action,6.8,622.24,382,en,2
Tom and Jerry: Cowboy Up!,2022,"Animation, Comedy, Family, Western",7.1,614.11,163,en,0
Chernobyl: Abyss,2020,"Drama, History, Adventure",6.2,601.958,314,ru,6
Desperate Riders,2022,"Western, Action",6.8,590.474,10,en,2
