title,release_year,original_language,genre,popularity,vote_average,vote_count
Spider-Man: No Way Home,2021,en,"Action, Adventure, Science Fiction",5083.954,8.3,8940
The Batman,2022,en,"Crime, Mystery, Thriller",3827.658,8.1,1151
No Exit,2022,en,Thriller,2618.087,6.3,122
Encanto,2021,en,"Animation, Comedy, Family, Fantasy",2402.201,7.7,5076
The King's Man,2021,en,"Action, Adventure, Thriller, War",1895.511,7.0,1793
The Commando,2022,en,"Action, Crime, Thriller",1750.484,6.6,33
Scream,2022,en,"Horror, Mystery, Thriller",1675.161,6.8,821
Kimi,2022,en,Thriller,1601.782,6.3,206
Fistful of Vengeance,2022,en,"Action, Crime, Fantasy",1594.013,5.3,114
Eternals,2021,en,Science Fiction,1537.406,7.2,4726
Pursuit,2022,en,"Action, Crime, Thriller",1500.523,5.9,16
My Hero Academia: World Heroes' Mission,2021,ja,"Animation, Action, Fantasy, Adventure",1485.064,7.3,100
Restless,2022,fr,"Action, Thriller, Crime",1468.377,5.9,107
Nightmare Alley,2021,en,"Crime, Drama, Thriller",1455.144,7.1,952
The Ice Age Adventures of Buck Wild,2022,en,"Animation, Comedy, Adventure, Family",1431.307,7.1,737
Hotel Transylvania: Transformania,2022,en,"Animation, Family, Fantasy, Comedy, Adventure",1373.778,7.0,288
Texas Chainsaw Massacre,2022,en,Horror,1312.79,5.1,521
The Requin,2022,en,Thriller,1252.317,4.6,65
Looop Lapeta,2022,hi,"Action, Comedy, Crime",1240.946,6.0,31
Red Notice,2021,en,"Action, Comedy, Crime, Thriller",1178.544,6.8,3193
